@oname,@id,@lat,@lon,name,ref:FR:STIF
node,619157601,49.0393505,2.0761538,Université des Chênes,9595
node,619157602,49.0411437,2.0735354,Les Marjoberts,9594
node,619157604,49.0411487,2.0739952,Marjoberts,9596
node,619157606,49.0548713,2.0402737,Les Genottes,8958
node,619157608,49.0549395,2.0403504,Les Genottes,9066
node,619157610,49.0540868,2.0634027,Jules César / Général de Gaulle,8963
node,619157612,49.0526728,2.0650196,Jules César,9018
node,619157614,49.0530261,2.0635644,Jules César,8993
node,619157615,49.0541748,2.0435023,Petit Albi,9065
node,619157617,49.0540304,2.0445062,Petit Albi,8959
node,619157619,49.0544331,2.0465105,Plaine des Sports,8705
node,619157621,49.0545971,2.0469402,Plaine des Sports,8607
node,619157623,49.0542822,2.0636975,Jules César / Général de Gaulle,9062
node,619157626,49.0555267,2.0646618,La Ravinière,8962
node,619157629,49.0559662,2.0645799,La Ravinière,8991
node,619157630,49.0449084,2.0701718,Cité Artisanale,9597
node,619157632,49.0524284,2.0695057,Avenue des Arpents,9017
node,619157634,49.0522208,2.0697175,Avenue des Arpents,8994
node,619157636,49.0502937,2.0746710,Falaise,8996
node,619157637,49.0505950,2.0750185,Falaise,9015
node,619157642,49.0523027,2.0716035,Beaux Soleils,9016
node,619157643,49.0520119,2.0720612,Beaux Soleils,10152
node,619157646,49.0571543,2.0664228,La Ravinière,9021
node,620019834,49.0438864,2.0706819,Cité Artisanale,416809
node,621111833,48.8179544,2.3018687,Augustin Dumont,35177
node,621111888,48.8193114,2.2991847,Gabriel Péri - André Coin,28751
node,621111926,48.8164031,2.3001026,Maurice Thorez,35182
node,621112187,48.8149624,2.2974754,Étienne Dolet,22448
node,622295989,48.8372917,2.3516257,Les Gobelins,25738
node,622303212,48.8500927,2.3434408,Cluny,26355
node,622303214,48.8505979,2.3460921,Dante,28418
node,624803888,49.0232778,2.0266773,Mendes France,9047
node,624803891,49.0243879,2.0291736,Les Toupets,8790
node,627900723,49.0770137,2.0756751,Oseraie,19929
node,627900728,49.0774793,2.0766741,Oseraie,8716
node,627900761,49.0715911,2.0695845,Réservoir,8697
node,629487138,49.0058822,2.0378880,La Hayette,8799
node,629487144,49.0059077,2.0371640,La Hayette,8816
node,629487149,49.0062525,2.0410410,Souhaits,8815
node,629487156,49.0061455,2.0407409,Souhaits,8800
node,629487184,49.0113432,2.0322839,Le Noyer,8791
node,629487191,49.0112287,2.0318181,Le Noyer,8810
node,629487199,49.0126860,2.0356001,Le Temps Perdu,8809
node,629487207,49.0128036,2.0361703,Le Temps Perdu,8792
node,629487214,49.0139378,2.0415372,Cornouillers,8793
node,629487221,49.0139687,2.0410752,Cornouillers,5500
node,629487228,49.0062675,2.0441005,Les Bruzacques,8801
node,629487236,49.0063684,2.0438422,Les Bruzacques,8814
node,629487244,49.0080684,2.0447404,Henri Guillaumet,8813
node,629487252,49.0083781,2.0448935,Henri Guillaumet,8802
node,630397895,48.8319357,2.3595832,Les Alpes,10077
node,631918620,48.8372433,2.3905356,Charenton - Wattignies,27101
node,633158292,48.8531563,2.2797589,Radio France,35808
node,638466925,49.0449224,2.1074080,Mairie,426016
node,638572250,48.8497208,2.3421402,Les Écoles,8432
node,638572251,48.8498845,2.3425106,Les Écoles,22962
node,640139842,48.7913153,2.0351446,Institut Franco-Japonais,20895
node,640139903,48.7912182,2.0353436,Institut Franco-Japonais,20879
node,640139934,48.7943192,2.0375676,Vieil Étang,20789
node,640139940,48.7941874,2.0377338,Vieil Étang,20757
node,640684641,48.8875710,2.2067370,Carriers,7992
