route_short_name,osm_transport_mode,agency_name
321,bus,CEAT
322,bus,CEAT
320,bus,CEAT
318,bus,CEAT
319,bus,CEAT
16,bus,Seine et Marne Express
14,bus,Arlequin
121,bus,Sol'R
209,bus,Sol'R
201,bus,Stigo
18,bus,Stigo
05,bus,Arlequin
04,bus,Yerres
03,bus,Sol'R
11,bus,Stigo
10,bus,Sol'R
07,bus,Sol'R
B,bus,Sit'bus
A,bus,Sit'bus
502,bus,Sit'bus
E,bus,Sit'bus
D,bus,Sit'bus
C,bus,Sit'bus
309,bus,Sol'R
23,bus,Yerres
21,bus,Sol'R
501,bus,Sit'bus
500,bus,Sit'bus
409,bus,Sol'R
34sco,bus,Pays Fertois
35,bus,Pays Fertois
4,bus,Pays Créçois
34,bus,Pays Fertois
32,bus,Pays Fertois
32sco,bus,Pays Fertois
33,bus,Pays Fertois
47,bus,Pays de l'Ourcq
48,bus,Pays Fertois
49A,bus,Pays Fertois
46,bus,Pays de l'Ourcq
40,bus,Pays de l'Ourcq
41,bus,Pays de l'Ourcq
42,bus,Pays de l'Ourcq
13B,bus,Pays Créçois
14,bus,Pep's
18,bus,Pays Créçois
13A,bus,Pays Créçois
10,bus,Pays de l'Ourcq
11,bus,Pays de l'Ourcq
12,bus,Pays Créçois
23,bus,Pays de l'Ourcq
31,bus,Pays Fertois
31sco,bus,Pays Fertois
22,bus,Pays de l'Ourcq
19,bus,Pays Créçois
21,bus,Pays Créçois
21sco,bus,Pays Créçois
65,bus,Pays de l'Ourcq
67,bus,Pays Fertois
69,bus,Seine et Marne Express
63,bus,Pays de l'Ourcq
60,bus,Pays Créçois
61,bus,Pays de l'Ourcq
62,bus,Pays Fertois
8A,bus,Pays Créçois
8B,bus,Pays Créçois
8C,bus,Pays Créçois
73,bus,Pays Créçois
7,bus,Pays Créçois
70,bus,Pays Créçois
71,bus,Pays Créçois
52,bus,Pays de l'Ourcq
53,bus,Pays de l'Ourcq
54,bus,Pays de l'Ourcq
50,bus,Pays de l'Ourcq
49B,bus,Pays Fertois
4A,bus,Pays Créçois
4B,bus,Pays Créçois
58,bus,Pays Créçois
59,bus,Pays Créçois
6,bus,Pep's
57,bus,Pays Créçois
54bis,bus,Pays de l'Ourcq
56,bus,Pays Fertois
56sco,bus,Pays Fertois
68.14,bus,ORMONT TRANSPORT
68.16,bus,ORMONT TRANSPORT
913.07,bus,ORMONT TRANSPORT
68.13,bus,ORMONT TRANSPORT
68.08,bus,ORMONT TRANSPORT
68.09,bus,ORMONT TRANSPORT
68.100,bus,ORMONT TRANSPORT
DM02 A,bus,TRANSPORTS DANIEL MEYER
DM02 B,bus,TRANSPORTS DANIEL MEYER
DM03,bus,TRANSPORTS DANIEL MEYER
913.50,bus,ORMONT TRANSPORT
913.08,bus,ORMONT TRANSPORT
913.10,bus,ORMONT TRANSPORT
913.17,bus,ORMONT TRANSPORT
306.12,bus,ORMONT TRANSPORT
4,bus,ORMONT TRANSPORT
5,bus,ORMONT TRANSPORT
306.04,bus,ORMONT TRANSPORT
1,bus,ORMONT TRANSPORT
2,bus,ORMONT TRANSPORT
3,bus,ORMONT TRANSPORT
68.05 A,bus,ORMONT TRANSPORT
68.05 B,bus,ORMONT TRANSPORT
68.06,bus,ORMONT TRANSPORT
68.02,bus,ORMONT TRANSPORT
6,bus,ORMONT TRANSPORT
68.01,bus,ORMONT TRANSPORT
68.01S,bus,ORMONT TRANSPORT
DM17 B,bus,TRANSPORTS DANIEL MEYER
